                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3744,                0.84873,                 1.2271,                 0.9354,                0.89056,                0.93727,                0.53166,                   1.46,                0.66941,                 1.2609,               0.000948,               0.000948,               0.000948
                     36,                 1.3344,                0.82045,                  1.225,                0.92015,                 0.8642,                0.93419,                0.52396,                 1.4657,                0.66898,                  1.235,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.3462,                0.82118,                 1.2224,                0.89873,                0.89915,                0.93846,                0.54562,                  1.448,                0.66052,                  1.239,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.3344,                0.82304,                 1.2156,                0.93853,                0.89524,                0.94828,                0.53789,                 1.4317,                0.65598,                 1.2158,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.3154,                0.80443,                 1.2012,                0.89112,                0.92208,                0.94331,                0.52987,                 1.4205,                0.65583,                 1.2118,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.2983,                0.78421,                 1.1959,                0.90639,                0.93418,                0.94466,                 0.5426,                 1.4186,                0.65226,                 1.2322,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.3127,                0.78578,                 1.1952,                0.94268,                0.92687,                0.96458,                0.55682,                 1.4546,                0.63987,                 1.2269,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.2888,                0.78257,                 1.1999,                 0.9407,                0.92406,                0.95571,                0.55426,                 1.4574,                0.62115,                 1.2414,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.2752,                0.77129,                 1.1858,                0.90009,                0.91933,                0.95749,                0.57534,                 1.3924,                0.62465,                 1.2106,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.2871,                0.78042,                 1.1926,                 0.8876,                0.91569,                0.95246,                 0.5551,                 1.3837,                0.63154,                 1.2065,             0.00082067,             0.00082067,             0.00082067
